p_recall,n_id,timestamp,delta,user_id,learning_language,ui_language,word_ll,word_ul,lexeme_string,history_seen,history_correct,session_seen,session_correct,p_pred,mdt_history,mdt_correct,mrt_history,mrt_correct,wdt_history,wdt_correct,wrt_history,wrt_correct,speed,rebag
0.0,193,1746629700,0,pablo,iw,en,אשמה,guilt,אשמה/אשמה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,54,1746629700,0,pablo,iw,en,שוחד,bribe,שוחד/שוחד<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,543,1746629700,0,pablo,iw,en,מושל,governor,מושל/מושל<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,222,1746629700,0,pablo,iw,en,מועמד,candidate,מועמד/מועמד<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,341,1746629700,0,pablo,iw,en,מעצר,arrest,מעצר/מעצר<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,431,1746629700,0,pablo,iw,en,נאום,speech,נאום/נאום<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,311,1746629700,0,pablo,iw,en,שחיתות,corruption,שחיתות/שחיתות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,175,1746629700,0,pablo,iw,en,אלימות,violence,אלימות/אלימות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,198,1746629700,0,pablo,iw,en,בחירות,elections,"ב/ב<ADP>,caseחירות/חירות<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,50,1746629700,0,pablo,iw,en,מנהיג,leader,מנהיג/מנהיג<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,498,1746629700,0,pablo,iw,en,פשע,crime,פשע/פשע<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,451,1746629700,0,pablo,iw,en,מדיניות,policy,מדיניות/מדיניות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,118,1746629700,0,pablo,iw,en,כלכלה,economy,כלכלה/כלכלה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,32,1746629700,0,pablo,iw,en,זכות,Right,זכות/זכות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,377,1746629700,0,pablo,iw,en,מיסים,Taxes,מיסים/מס<NOUN>Masc|Plur|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,29,1746629700,0,pablo,iw,en,ביטחון,confidence,"ב/ב<ADP>,markיטחון/טחן<VERB>Masc|PAAL|Sing|3|Fut|Act|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,155,1746629700,0,pablo,iw,en,חוק,law,חוק/חוק<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,361,1746629700,0,pablo,iw,en,אוהד,Fan,אוהד/אוהד<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,258,1746629700,0,pablo,iw,en,התקפה,attack,התקפה/התקפה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,147,1746629700,0,pablo,iw,en,שוער,goalie,שוער/שוער<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,120,1746629700,0,pablo,iw,en,צעד,step,צעד/צעד<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,302,1746629700,0,pablo,iw,en,בעיטה,kick,בעיטה/בעיטה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,128,1746629700,0,pablo,iw,en,ארד,bronze,ארד/ארד<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,228,1746629700,0,pablo,iw,en,מאמן,coach,מאמן/מאמן<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,339,1746629700,0,pablo,iw,en,אליפות,championship,אליפות/אליפות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,316,1746629700,0,pablo,iw,en,כדורעף,Volleyball,"כ/כ<ADP>,caseדורעף/דורעף<PROPN>",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,408,1746629700,0,pablo,iw,en,מחבט,racket,מחבט/מחבט<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,138,1746629700,0,pablo,iw,en,מבקיע,scores,"מבקיע/הבקיע<VERB>Masc|HIFIL|Sing|1,2,3|Part|Act|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,393,1746629700,0,pablo,iw,en,תיקו,draw,תיקו/תיקו<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,480,1746629700,0,pablo,iw,en,פסקול,sound track,פסקול/פסקול<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,231,1746629700,0,pablo,iw,en,הופעה,performance,"ה/ה<DET>Def|Art|,detופעה/ופעה<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,440,1746629700,0,pablo,iw,en,מפוחית,harmonica,מפוחית/מפוחית<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,318,1746629700,0,pablo,iw,en,חצוצרה,trumpet,חצוצרה/חצוצרה<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,243,1746629700,0,pablo,iw,en,מנגינה,tune,מנגינה/מנגינה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,235,1746629700,0,pablo,iw,en,רמקול,speaker,רמקול/רמקול<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,582,1746629700,0,pablo,iw,en,מיקרופון,microphone,מיקרופון/מיקרופון<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,439,1746629700,0,pablo,iw,en,מתופף,drummer,"מתופף/התופף<VERB>Masc|PUAL|Sing|1,2,3|Part|Pass|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,490,1746629700,0,pablo,iw,en,להקה,band,להקה/להקה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,390,1746629700,0,pablo,iw,en,כינור,violin,כינור/כינור<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,250,1746629700,0,pablo,iw,en,תת קרקעי,underground,"תת/תת<ADV>Yes|,compound:affixקרקעי/קרקעי<ADJ>Masc|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,481,1746629700,0,pablo,iw,en,לצפות,expect,לצפות/לצפות<VERB>Inf|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,7,1746629700,0,pablo,iw,en,לתלות,hang,לתלות/תלה<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,115,1746629700,0,pablo,iw,en,לבכות,cry,לבכות/לבכות<VERB>Inf|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,554,1746629700,0,pablo,iw,en,לדחות,reject,לדחות/דחה<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,412,1746629700,0,pablo,iw,en,לטעות,mistake,לטעות/טעה<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,246,1746629700,0,pablo,iw,en,לבנות,build,לבנות/בנה<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,570,1746629700,0,pablo,iw,en,לקרות,happen,לקרות/לקרות<VERB>Inf|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,527,1746629700,0,pablo,iw,en,להבטיח,ensure,להבטיח/הבטיח<VERB>HIFIL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,46,1746629700,0,pablo,iw,en,לדרוש,demand,לדרוש/דרש<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,312,1746629700,0,pablo,iw,en,רשות,permission,רשות/רשות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,352,1746629700,0,pablo,iw,en,עמדה,position,עמדה/עמדה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,304,1746629700,0,pablo,iw,en,מציאות,reality,מציאות/מציאות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,102,1746629700,0,pablo,iw,en,בעדיפות,priority,בעדיפות/בעדיפות<ADV>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,370,1746629700,0,pablo,iw,en,בטוי,expression,בטוי/ביטוי<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,417,1746629700,0,pablo,iw,en,השלכות,consequences,"ה/ה<DET>Def|Art|,detשלכות/שלכת<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,220,1746629700,0,pablo,iw,en,הפתעה,surprise,הפתעה/הפתעה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,456,1746629700,0,pablo,iw,en,חיוך,smile,חיוך/חיוך<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,227,1746629700,0,pablo,iw,en,לזרום,stream,לזרום/זרם<VERB>PAAL|Inf|Act|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,223,1746629700,0,pablo,iw,en,להישאר,stay,להישאר/נשאר<VERB>NIFAL|Inf|Mid|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,63,1746629700,0,pablo,iw,en,להתנהג,behave,להתנהג/התנהג<VERB>HITPAEL|Inf|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,95,1746629700,0,pablo,iw,en,טובה,favor,טובה/טוב<ADJ>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,418,1746629700,0,pablo,iw,en,אוהל,tent,אוהל/אוהל<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,436,1746629700,0,pablo,iw,en,פחד,fear,פחד/פחד<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,504,1746629700,0,pablo,iw,en,מסורת,tradition,מסורת/מסורת<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,43,1746629700,0,pablo,iw,en,גישה,approach,גישה/גישה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,283,1746629700,0,pablo,iw,en,מקלט,shelter,מקלט/מקלט<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,84,1746629700,0,pablo,iw,en,סכנה,danger,סכנה/סכנה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,290,1746629700,0,pablo,iw,en,שנאה,hatred,שנאה/שנאה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,206,1746629700,0,pablo,iw,en,הרפתקה,adventure,הרפתקה/הרפתקה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,56,1746629700,0,pablo,iw,en,חתימה,signature,חתימה/חתימה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,446,1746629700,0,pablo,iw,en,אחריות,responsability,אחריות/אחריות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,191,1746629700,0,pablo,iw,en,עמדה,position,עמדה/עמדה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,443,1746629700,0,pablo,iw,en,סמל,symbol,סמל/סמל<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,327,1746629700,0,pablo,iw,en,ספק,doubt,ספק/ספק<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,263,1746629700,0,pablo,iw,en,פקודה,command,פקודה/פקודה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,72,1746629700,0,pablo,iw,en,השקפה,view,השקפה/השקפה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,1,1746629700,0,pablo,iw,en,שליטה,control,שליטה/שליטה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,151,1746629700,0,pablo,iw,en,להתעלם,to ignore,"ל/ל<ADP>,caseהתעלם/התעלם<VERB>Masc|HITPAEL|Sing|3|Past|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,366,1746629700,0,pablo,iw,en,מערכת,system,מערכת/מערכת<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,96,1746629700,0,pablo,iw,en,מבנה,structure,מבנה/מבנה<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,387,1746629700,0,pablo,iw,en,המצב,situation,המצב/המצב<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,539,1746629700,0,pablo,iw,en,אישי,personal,אישי/אישי<ADJ>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,410,1746629700,0,pablo,iw,en,רשימה,list,רשימה/רשימה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,133,1746629700,0,pablo,iw,en,השפעה,influence,"ה/ה<DET>Def|Art|,detשפעה/שפעה<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,337,1746629700,0,pablo,iw,en,מרשימים,impressive,מרשימים/מרשים<ADJ>Masc|Plur|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,487,1746629700,0,pablo,iw,en,קצה,edge,קצה/קצה<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,52,1746629700,0,pablo,iw,en,פקודה,command,פקודה/פקודה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,425,1746629700,0,pablo,iw,en,התחלה,beginning,התחלה/התחלה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,300,1746629700,0,pablo,iw,en,החושך,darkness,"ה/ה<DET>Def|Art|,detחושך/חושך<NOUN>Masc|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,261,1746629700,0,pablo,iw,en,החלטה,decision,"ה/ה<DET>Def|Art|,detחלטה/חלטה<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,74,1746629700,0,pablo,iw,en,פרס,reward,פרס/פרס<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,270,1746629700,0,pablo,iw,en,נושא,subject,נושא/נושא<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,86,1746629700,0,pablo,iw,en,מנוחה,rest,מנוחה/מנוחה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,535,1746629700,0,pablo,iw,en,הצלחה,success,הצלחה/הצלחה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,296,1746629700,0,pablo,iw,en,קול,voice,קול/קול<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,240,1746629700,0,pablo,iw,en,בחירה,choice,בחירה/בחירה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,331,1746629700,0,pablo,iw,en,ענין,matter,ענין/עניין<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,245,1746629700,0,pablo,iw,en,כישלון,failure,כישלון/כישלון<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,494,1746629700,0,pablo,iw,en,תפקיד,role,תפקיד/תפקיד<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,360,1746629700,0,pablo,iw,en,משבר,crisis,משבר/משבר<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,353,1746629700,0,pablo,iw,en,הזדמנות,opportunity,הזדמנות/הזדמנות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,517,1746629700,0,pablo,iw,en,ההגנה,defense,ההגנה/ההגנה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,204,1746629700,0,pablo,iw,en,תור,turn,תור/תור<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,144,1746629700,0,pablo,iw,en,תגובה,comment,תגובה/תגובה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,529,1746629700,0,pablo,iw,en,הסכם,agreement,"ה/ה<DET>Def|Art|,detסכם/סכם<NOUN>Masc|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,406,1746629700,0,pablo,iw,en,תקוה,hope,תקוה/תקוה<PROPN>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,580,1746629700,0,pablo,iw,en,חטוף,secuestrado,חטוף/חטוף<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,363,1746629700,0,pablo,iw,en,נקודת מבט,perspective,"נקודת/נקודה<NOUN>Cons|Fem|Sing|מבט/מבט<NOUN>Masc|Sing|,compound:smixut",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,158,1746629700,0,pablo,iw,en,מערב,west,מערב/מערב<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,495,1746629700,0,pablo,iw,en,מזרח,east,מזרח/מזרח<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,21,1746629700,0,pablo,iw,en,דרום,south,דרום/דרום<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,10,1746629700,0,pablo,iw,en,צפון,north,צפון/צפון<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,244,1746629700,0,pablo,iw,en,רמה,level,רמה/רמה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,218,1746629700,0,pablo,iw,en,שליטה,control,שליטה/שליטה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,422,1746629700,0,pablo,iw,en,שיחה,conversation,שיחה/שיחה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,382,1746629700,0,pablo,iw,en,חלק,part,חלק/חלק<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,298,1746629700,0,pablo,iw,en,קבוצה,group,קבוצה/קבוצה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,488,1746629700,0,pablo,iw,en,שינוי,change,שינוי/שינוי<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,152,1746629700,0,pablo,iw,en,מקרה,case,מקרה/מקרה<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,489,1746629700,0,pablo,iw,en,משמעות,meaning,משמעות/משמעות<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,4,1746629700,0,pablo,iw,en,סוג,kind,סוג/סוג<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,551,1746629700,0,pablo,iw,en,מדהים,Amazing,"מדהים/הדהים<VERB>Masc|HIFIL|Sing|1,2,3|Part|Act|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
